date,gold_price_vnd
2015-10-01,25025910
2015-11-01,25515650
2015-12-01,24042940
2016-01-01,23859960
2016-02-01,25169740
2016-03-01,27486100
2016-04-01,27253910
2016-05-01,28835130
2016-06-01,27220300
2016-07-01,29935980
2016-08-01,30175920
2016-09-01,29290350
2016-10-01,29341120
2016-11-01,28837880
2016-12-01,26555290
2017-01-01,26194620
2017-02-01,27313880
2017-03-01,28495450
2017-04-01,28423960
2017-05-01,28594060
2017-06-01,28736600
2017-07-01,28223040
2017-08-01,28841060
2017-09-01,30115910
2017-10-01,29066060
2017-11-01,28946170
2017-12-01,29089590
2018-01-01,Noresult
2018-02-01,30653980
2018-03-01,29918550
2018-04-01,30128740
2018-05-01,29685900
2018-06-01,29479960
2018-07-01,28767020
2018-08-01,28323890
2018-09-01,28002240
2018-10-01,27728220
2018-11-01,28797070
2018-12-01,28500630
2019-01-01,29750400
2019-02-01,30578920
2019-03-01,29935960
2019-04-01,29873560
2019-05-01,29718900
2019-06-01,30568560
2019-07-01,32345380
2019-08-01,33387420
2019-09-01,35413980
2019-10-01,34220520
2019-11-01,35108720
2019-12-01,33872420
2020-01-01,35158200
2020-02-01,36679160
2020-03-01,36531790
2020-04-01,37479010
2020-05-01,39453830
2020-06-01,40369870
2020-07-01,40911700
2020-08-01,46057930
2020-09-01,45953400
2020-10-01,44186520
2020-11-01,43652690
2020-12-01,41609560
2021-01-01,44331820
2021-02-01,42928360
2021-03-01,39698610
2021-04-01,39760630
2021-05-01,40989330
2021-06-01,43812130
2021-07-01,40935650
2021-08-01,41768400
2021-09-01,41218970
2021-10-01,40024710
2021-11-01,40684240
2021-12-01,40402470
2022-01-01,41812000
2022-02-01,40795450
2022-03-01,44392260
2022-04-01,43950460
2022-05-01,43573840
2022-06-01,42844350
2022-07-01,42228100
2022-08-01,41400910
2022-09-01,39834650
2022-10-01,39630250
2022-11-01,40970080
2022-12-01,44203640
2023-01-01,43099610
2023-02-01,45811020
2023-03-01,43590780
2023-04-01,46213770
2023-05-01,46516940
2023-06-01,46446670
2023-07-01,45274350
2023-08-01,46056570
2023-09-01,46727500
2023-10-01,44931300
2023-11-01,48745300
2023-12-01,50322100
2024-01-01,50148100
2024-02-01,50178100
2024-03-01,51368700
2024-04-01,55847100
2024-05-01,58744000
2024-06-01,59231700
2024-07-01,59358300
2024-08-01,61707700
2024-09-01,62272100
2024-10-01,65549400
2024-11-01,69229500
2024-12-01,67183200
2025-01-01,66437100
2025-02-01,70242000
2025-03-01,72950900
2025-04-01,79837700
2025-05-01,84205600
2025-06-01,85599700
2025-07-01,87247800
2025-08-01,88174500
2025-09-01,91582500
2025-10-01,102092000
